,movieId,tagId,relevance
28,1,29,0.89375
62,1,63,0.94725
63,1,64,0.98425
185,1,186,0.95475
192,1,193,0.8145
202,1,203,0.90375
203,1,204,0.95975
214,1,215,0.815
243,1,244,0.99875
277,1,278,0.8420000000000001
308,1,309,0.83925
309,1,310,0.893
373,1,374,0.8314999999999999
411,1,412,0.92875
413,1,414,0.87625
444,1,445,0.86825
463,1,464,0.8095000000000001
468,1,469,0.90725
496,1,497,0.8122499999999999
535,1,536,0.93675
587,1,588,0.98
588,1,589,0.98575
602,1,603,0.8747499999999999
716,1,717,0.87225
741,1,742,0.88575
784,1,785,0.9645
785,1,786,0.99575
970,1,971,0.91625
1035,1,1036,0.99925
1061,1,1062,0.89625
1156,2,29,0.976
1189,2,62,0.8672500000000001
1234,2,107,0.8174999999999999
1330,2,203,0.8685
1331,2,204,0.959
1501,2,374,0.8494999999999999
1504,2,377,0.95175
1505,2,378,0.879
1542,2,415,0.8707499999999999
1711,2,584,0.9185
1715,2,588,0.95
1731,2,604,0.8145
2078,2,951,0.932
2485,3,230,0.853
2706,3,451,0.9625
3156,3,901,0.97525
3157,3,902,0.9305
3584,4,201,0.899
3696,4,313,0.82375
4499,4,1116,0.97525
4741,5,230,0.83925
4885,5,374,0.8687499999999999
4894,5,383,0.94825
4962,5,451,0.954
5161,5,650,0.90625
5319,5,808,0.91275
5412,5,901,0.96025
5413,5,902,0.941
5658,6,19,0.93025
5744,6,105,0.9445
5767,6,128,0.85575
5834,6,195,0.8585
5879,6,240,0.8545
5880,6,241,0.89175
5907,6,268,0.97975
5941,6,302,0.8234999999999999
5962,6,323,0.8102499999999999
6004,6,365,0.8492500000000001
6063,6,424,0.8260000000000001
6091,6,452,0.80125
6104,6,465,0.9425
6107,6,468,0.8460000000000001
6120,6,481,0.9195
6137,6,498,0.957
6175,6,536,0.9185
6192,6,553,0.86025
6251,6,612,0.8374999999999999
6480,6,841,0.8727499999999999
6485,6,846,0.8775
6496,6,857,0.82525
6620,6,981,0.8115000000000001
6638,6,999,0.8085
6659,6,1020,0.8807499999999999
6724,6,1085,0.881
6728,6,1089,0.8507499999999999
6876,7,109,0.83325
7217,7,450,0.83325
7380,7,613,0.83725
7616,7,849,0.98125
7630,7,863,0.923
7631,7,864,0.96225
7632,7,865,0.932
7916,8,21,0.8545
7917,8,22,0.928
8002,8,107,0.9295
9042,9,19,0.977
9043,9,20,0.91325
9392,9,369,0.8474999999999999
9412,9,389,0.912
9470,9,447,0.96925
9548,9,525,0.8640000000000001
9632,9,609,0.969
9919,9,896,0.8532500000000001
10098,9,1075,0.905
10152,10,1,0.9995
10153,10,2,1.0
10170,10,19,0.9725
10180,10,29,0.80175
10232,10,81,0.8827499999999999
10302,10,151,0.999
10346,10,195,0.92975
10512,10,361,0.961
10557,10,406,0.96975
10598,10,447,0.88625
10724,10,573,0.8225
11047,10,896,0.954
11055,10,904,0.8367500000000001
11106,10,955,0.869
11112,10,961,0.85575
11480,11,201,0.808
11602,11,323,0.8839999999999999
11667,11,388,0.8520000000000001
11718,11,439,0.8755
11893,11,614,0.9455
12077,11,798,0.9765
12079,11,800,0.98875
12090,11,811,0.99675
12142,11,863,0.9455
12143,11,864,0.92825
12144,11,865,0.944
12201,11,922,0.9435
12398,11,1119,0.97825
12637,12,230,0.8620000000000001
12786,12,379,0.8220000000000001
12912,12,505,0.82575
13177,12,770,0.98275
13365,12,958,0.99275
13474,12,1067,0.80375
13575,13,40,0.941
13597,13,62,0.889
13598,13,63,0.9795
13599,13,64,0.992
13721,13,186,0.9135
13845,13,310,0.85825
13851,13,316,0.98675
13852,13,317,0.9645
14124,13,589,0.94375
14542,13,1007,0.978
14796,14,133,0.9735
14797,14,134,0.887
14798,14,135,0.951
14921,14,258,0.81325
15033,14,370,0.81175
15461,14,798,0.8327500000000001
15463,14,800,0.918
15474,14,811,0.979
15496,14,833,0.8414999999999999
15782,14,1119,0.974
15810,15,19,0.9765
15811,15,20,0.84425
15820,15,29,0.97475
15923,15,132,0.929
15986,15,195,0.8280000000000001
16238,15,447,0.8347500000000001
16575,15,784,0.99025
16792,15,1001,0.99175
16796,15,1005,0.9325
16797,15,1006,0.921
16834,15,1043,0.971
16835,15,1044,0.99775
17088,16,169,0.8640000000000001
17106,16,187,0.99325
17159,16,240,0.849
