movieId,title,genres
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
62,Mr. Holland's Opus (1995),Drama
110,Braveheart (1995),Action|Drama|War
150,Apollo 13 (1995),Adventure|Drama|IMAX
151,Rob Roy (1995),Action|Drama|Romance|War
161,Crimson Tide (1995),Drama|Thriller|War
236,French Kiss (1995),Action|Comedy|Romance
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
261,Little Women (1994),Drama
266,Legends of the Fall (1994),Drama|Romance|War|Western
296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
306,Three Colors: Red (Trois couleurs: Rouge) (1994),Drama
307,Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama
318,"Shawshank Redemption, The (1994)",Crime|Drama
333,Tommy Boy (1995),Comedy
349,Clear and Present Danger (1994),Action|Crime|Drama|Thriller
356,Forrest Gump (1994),Comedy|Drama|Romance|War
364,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX
380,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller
457,"Fugitive, The (1993)",Thriller
480,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller
497,Much Ado About Nothing (1993),Comedy|Romance
524,Rudy (1993),Drama
527,Schindler's List (1993),Drama|War
534,Shadowlands (1993),Drama|Romance
553,Tombstone (1993),Action|Drama|Western
588,Aladdin (1992),Adventure|Animation|Children|Comedy|Musical
589,Terminator 2: Judgment Day (1991),Action|Sci-Fi
593,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller
608,Fargo (1996),Comedy|Crime|Drama|Thriller
653,Dragonheart (1996),Action|Adventure|Fantasy
665,Underground (1995),Comedy|Drama|War
733,"Rock, The (1996)",Action|Adventure|Thriller
858,"Godfather, The (1972)",Crime|Drama
899,Singin' in the Rain (1952),Comedy|Musical|Romance
902,Breakfast at Tiffany's (1961),Drama|Romance
912,Casablanca (1942),Drama|Romance
913,"Maltese Falcon, The (1941)",Film-Noir|Mystery
