title,genres
Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
Mr. Holland's Opus (1995),Drama
Braveheart (1995),Action|Drama|War
Apollo 13 (1995),Adventure|Drama|IMAX
Rob Roy (1995),Action|Drama|Romance|War
Crimson Tide (1995),Drama|Thriller|War
French Kiss (1995),Action|Comedy|Romance
Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
Little Women (1994),Drama
Legends of the Fall (1994),Drama|Romance|War|Western
Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
Three Colors: Red (Trois couleurs: Rouge) (1994),Drama
Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama
"Shawshank Redemption, The (1994)",Crime|Drama
Tommy Boy (1995),Comedy
Clear and Present Danger (1994),Action|Crime|Drama|Thriller
Forrest Gump (1994),Comedy|Drama|Romance|War
"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX
True Lies (1994),Action|Adventure|Comedy|Romance|Thriller
"Fugitive, The (1993)",Thriller
Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller
Much Ado About Nothing (1993),Comedy|Romance
Rudy (1993),Drama
Schindler's List (1993),Drama|War
Shadowlands (1993),Drama|Romance
Tombstone (1993),Action|Drama|Western
Aladdin (1992),Adventure|Animation|Children|Comedy|Musical
Terminator 2: Judgment Day (1991),Action|Sci-Fi
"Silence of the Lambs, The (1991)",Crime|Horror|Thriller
Fargo (1996),Comedy|Crime|Drama|Thriller
Dragonheart (1996),Action|Adventure|Fantasy
Underground (1995),Comedy|Drama|War
"Rock, The (1996)",Action|Adventure|Thriller
"Godfather, The (1972)",Crime|Drama
Singin' in the Rain (1952),Comedy|Musical|Romance
Breakfast at Tiffany's (1961),Drama|Romance
Casablanca (1942),Drama|Romance
"Maltese Falcon, The (1941)",Film-Noir|Mystery
My Fair Lady (1964),Comedy|Drama|Musical|Romance
"Wizard of Oz, The (1939)",Adventure|Children|Fantasy|Musical
2001: A Space Odyssey (1968),Adventure|Drama|Sci-Fi
It's a Wonderful Life (1946),Children|Drama|Fantasy|Romance
"Sound of Music, The (1965)",Musical|Romance
Monty Python's Life of Brian (1979),Comedy
Dirty Dancing (1987),Drama|Musical|Romance
E.T. the Extra-Terrestrial (1982),Children|Drama|Sci-Fi
Monty Python and the Holy Grail (1975),Adventure|Comedy|Fantasy
Delicatessen (1991),Comedy|Drama|Romance
"English Patient, The (1996)",Drama|Romance|War
Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Sci-Fi
"Princess Bride, The (1987)",Action|Adventure|Comedy|Fantasy|Romance
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action|Adventure
"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",Action|Adventure|Western
