,userId,movieId,tag,timestamp
1,3,260,sci-fi,1439472256
62,91,215,conversation,1415131159
110,91,2324,bittersweet,1404508243
150,91,5378,fantasy,1406474948
151,91,5378,George Lucas,1406474936
161,91,6870,powerful ending,1393795234
236,91,37741,journalism,1403990809
260,91,48696,cynical,1390132736
261,91,48696,disturbing,1390132782
266,91,48696,psychology,1390132708
296,91,59018,quirky style,1406145434
306,91,68159,congressman,1419630185
307,91,68159,corruption,1419630169
318,91,69757,humorous,1407877184
333,91,72998,thought-provoking,1415448524
349,91,81845,based on a true story,1389309511
356,91,88744,Alzheimer's disease,1405174662
364,91,90866,bittersweet,1405251890
380,91,93721,Michelin,1400957670
457,91,108727,naration,1391379315
480,91,109487,wormhole,1415904635
497,91,111759,war,1403432693
524,91,112623,genetics,1405162806
527,91,112623,virus,1405162801
534,91,112852,talking animals,1413391097
553,91,115713,sci-fi,1448113518
588,91,140627,romance,1490008676
589,91,140627,war,1490008675
593,93,7147,Fantasy,1496543870
608,110,68099,teamwork,1437791138
653,195,115713,turing test,1545129573
665,204,129657,no story,1436637240
733,233,3114,Disney,1137238378
858,264,1968,school drama,1543392662
899,264,34319,cloning,1543390623
902,264,34319,genetics,1543390629
912,264,42725,Jonah Hill,1543389991
913,264,42725,marijuana,1543389979
914,264,42725,Quotable,1543389994
919,264,47997,dark comedy,1543390484
924,264,47997,thought provoking,1543390488
953,264,79592,silly,1543391145
1035,294,1407,slasher,1502225032
1080,294,197537,art,1550700939
1088,294,199223,death,1554847576
1097,294,201200,heartbreak,1556059802
1136,357,97186,social commentary,1388005450
1175,402,6946,spy,1527883897
1183,402,81020,music,1333620094
1196,402,115065,boy becomes a man,1422576521
1197,402,115065,comedy,1422576521
1198,402,115065,fantasy,1422576521
1201,402,116803,life philosophy,1431427396
1203,402,116803,personal growth,1431427396
1210,402,122904,strong language,1522705494
1213,402,132977,magic,1430563318
1217,406,7265,coming of age,1477191228
1237,418,51255,Simon Pegg,1305043688
1246,432,91529,superhero,1459529858
1250,449,184399,middle school,1538936974
1257,481,8644,intense,1471020318
1260,481,8644,thought provoking,1471020303
1270,481,56174,love,1471020418
1271,481,56174,persistence,1471020413
1275,481,56174,virus,1471020440
1283,481,84152,concept,1471020937
1287,481,84152,human potential,1471020922
1291,481,84152,thought provoking,1471020900
1293,481,112552,inspiring,1470945648
1299,481,116797,Computers,1471020531
1302,481,116797,inspirational,1471020549
1356,538,73860,music,1422938317
1374,542,74458,mystery,1540968550
1376,542,74458,Psychological Thriller,1540968558
1393,562,3198,Hope,1462467005
1431,563,37729,Tim Burton,1242470060
1465,595,2762,suspense,1441488853
1466,595,2762,unpredictable,1441488851
1485,610,293,disturbing,1432686799
1488,610,318,classic,1432232774
1527,610,2232,existentialism,1432671635
1580,610,26602,norwegian,1432690666
1584,610,27773,depressing,1432233084
1587,610,27773,Nudity (Full Frontal),1432233116
1610,610,68237,death,1432234510
1653,619,110407,artificial intelligence,1432500577
1672,635,4007,US history,1447031767
1674,635,49272,Daniel Craig,1447031555
1682,635,102407,F. Scott Fitzgerald,1447031669
1693,647,316,guilty pleasure,1329513389
1704,647,1199,bureaucracy,1506028840
1722,647,1625,neo-noir,1450216274
1873,647,96821,coming of age,1535565449
1907,647,107406,dystopia,1490526736
1923,647,113741,intelligent,1450215896
1951,647,122904,Funny,1456184858
1957,647,122906,social commentary,1524493985
1968,647,127202,coming of age,1537120581
2011,647,169982,Power Rangers,1524493829
2012,647,169982,product placement,1524493830
2028,647,182715,aliens,1569092555
